IXIS,Nasd Insurance Index
IXFN,Nasd Other Financial Index
IXTC,Nasd Telecommunications Index
IXTR,Nasd Transportation Index
&TRIQ,Nasd TRIN
NDXX,NASDAQ 100 Ex Tech Sector Index
NDX,"Nasdaq 100 Index (n,q)"
NDXT,NASDAQ 100 Technology sector Index
NQHL,"Nasdaq Adv,Dec,Unch,New Hi/Lo"
NASD,"Nasdaq Adv,Dec,Unch,Up/Dn Vol (d)"
COMP,"Nasdaq Composite Index (n,q)"
COMPZ,"Nasdaq Composite Index /10 (n,q)"
QCX,NASDAQ Composite Ix Full-Size Cntrt OP
QCE,NASDAQ Composite Ix Mini Cntrt
DIVQ,NASDAQ Dividend Achievers Index
DVQT,NASDAQ Dividend Achievers TR Index
NQGM,NASDAQ Global Market Composite Index
