3IN.L,3I Infrastructure
HER.L,HERENCIA RES
HFD.L,HALFORDS GROUP GB
HFEL.L,Henderson Far East Income
HFG.L,Hilton Food Group
HFO.L,HENDERSON FIN
HGM.L,HIGHLAND GOLD MINING LD ORD
HGT.L,HG Capital Trust
HHC.L,Hexagon Human Capital
HHI.L,Hend. High Inc.
HHR.L,Helphire Group
HICL.L,HSBC Infrastructure Company
HIK.L,HIKMA PHARMA WI
HILS.L,Hill & Smith Holdings plc
HL.L,Hargreaves Ls
HLCL.L,Helical Bar plc
HLMA.L,Halma plc
HLO.L,HEALTHCARE LOC
HLS.L,Helesi
HMB.L,HAMBLEDON MINING GB
HML.L,HENDERSON MORLEY PLC 0.125P
HMLH.L,HML Holdings
HMS.L,HALLIN MARINE
HMSO.L,Hammerson Property plc
HMV.L,HMV GROUP PLC ORD 1P (WI)
HMY.L,HAMWORTHY GB
HNE.L,Henderson Euro.
HNN.L,Hay (Norman)
HNT.L,Huntsworth Plc
HOC.L,Hochschild Mining
HOIL.L,Heritage Oil
HOME.L,Home Retail Group
HOT.L,Henderson Strat
HRCO.L,Hirco (WI)
HRG.L,Hogg Robinson Group
HRN.L,Hornby Group plc
HRO.L,HR Owens Plc
HSBA.L,HSBC Holdings 75p plc
HSM.L,Heath Samuel and Sons
HSP.L,HARGREAVES SERV
HSS.L,HIGHAM SYS SERV
HSV.L,Homeserve
HSX.L,Hiscox
HTG.L,Hunting plc
HTH.L,Hartest Holdings
HTI.L,Hawtin plc
HTIG.L,Hightex Group
HTT.L,HOT TUNA INTL
HUW.L,HAMPDEN
HVE.L,Havelock Europe ord 10p
HVN.L,HARVEY NASH GRP
HVT.L,HEAVITREE BREW
HVX.L,HUVEAUX ORD 10P
HWC.L,Highway Capital
HYC.L,Hyder Consulting
HYD.L,Hydro Energy Service Inc
HYDG.L,Hydrogen Group
HYG.L,Hygea VCT
HYNS.L,Haynes Publishing Group plc
HYR.L,Hydrodec Group
HZM.L,Horizonte Minerals
IAE.L,Ithaca Energy
IAEX.L,iShares AEX
IAM.L,INTEGRATED ASSET MANAGEMENT
IAP.L,ICAP PLC ORD 50P
IASP.L,Ishares FTSE Epra Nareit Asia
IBB.L,ISLAMIC BANK GB
IBGL.L,Ishares Euro Government Bond 15-30
IBGM.L,Ishares Euro Government Bond 7-10
IBGX.L,Ishares Euro Government Bond 3-5
IBL.L,INT BRAND LICENS
IBT.L,Intl Biotech TST 'C'
IBTM.L,Ishares US Treasury Bond 7-10
ICA.L,INVESTEC CAP ACC
ICB.L,ICB Financial Group Holdings AG
ICP.L,Intermediate Capital Group plc
IDA.L,Idatech
IDBT.L,Ishares
IDG.L,i-design Group
IDM.L,INDITHERM
IDOX.L,I-DOCUMENTSYSTEMS GRP PLC 1P
IDS.L,IDEAL SHOPPING
IDUS.L,Ishares
IEI.L,Invesco Eng. & Int.
IEM.L,IMPAX ENMTL MKTS
IEMB.L,Ishares JPMorgan USD Emerging Mkts Bond
IEMI.L,Ishares S&P Emerging Mkts Infrastructure
IEN.L,INTELLIGENT ENVIROMENTS GROUP
IERE.L,Invista European Real Est.Tst Sicaf
